cen2010_zcta_dp.htm:9 Uncaught ReferenceError: stLight is not defined
    at cen2010_zcta_dp.htm:9
cen2010_zcta_dp.htm:883 A parser-blocking, cross site (i.e. different eTLD+1) script, http://www.google-analytics.com/ga.js, is invoked via document.write. The network request for this script MAY be blocked by the browser in this or a future page load due to poor network connectivity. If blocked in this page load, it will be confirmed in a subsequent console message. See https://www.chromestatus.com/feature/5718547946799104 for more details.
(anonymous) @ cen2010_zcta_dp.htm:883
cen2010_zcta_dp.htm:883 A parser-blocking, cross site (i.e. different eTLD+1) script, http://www.google-analytics.com/ga.js, is invoked via document.write. The network request for this script MAY be blocked by the browser in this or a future page load due to poor network connectivity. If blocked in this page load, it will be confirmed in a subsequent console message. See https://www.chromestatus.com/feature/5718547946799104 for more details.
(anonymous) @ cen2010_zcta_dp.htm:883
for(i = 0 ; i < 33120 ; i++){
    console.log(obj.getCellValue(0, i) + "/" + obj.getCellValue(1, i) + "/" + obj.getCellValue(2, i) + "/" + obj.getCellValue(7, i) + "/" + obj.getCellValue(8, i))
}
VM78:2 01034/185271061/5014353/42.098207/-72.961272
VM78:2 01035/59791827/3939738/42.356482/-72.568576
VM78:2 01036/50521716/105963/42.062946/-72.417297
VM78:2 01037/34391428/235915/42.367961/-72.18871
VM78:2 01038/25893889/2245685/42.385496/-72.606929
VM78:2 01039/34206722/595533/42.404278/-72.688922
VM78:2 01040/55116741/4025645/42.211656/-72.642448
VM78:2 01050/99270932/2581121/42.28675/-72.869693
VM78:2 01053/13289904/251888/42.356301/-72.713584
VM78:2 01054/59071058/425618/42.469588/-72.484502
VM78:2 01056/70460584/2836425/42.188865/-72.459079
VM78:2 01057/116307957/1607537/42.093596/-72.321494
VM78:2 01060/28276974/3261695/42.321488/-72.630588
VM78:2 01062/47018995/396854/42.328314/-72.703923
VM78:2 01063/100502/0/42.318882/-72.63853
VM78:2 01066/1839260/121053/42.406903/-72.655018
VM78:2 01068/53949370/1008115/42.350862/-72.044248
VM78:2 01069/72688936/766584/42.187794/-72.308469
VM78:2 01070/53200760/594033/42.518446/-72.919017
VM78:2 01071/40349276/803435/42.16006/-72.873853
VM78:2 01072/52021993/1342210/42.456968/-72.417244
VM78:2 01073/72913678/2077741/42.226948/-72.741588
VM78:2 01074/220752/52379/42.387603/-72.09323
VM78:2 01075/45888980/1773571/42.256346/-72.580763
VM78:2 01077/79825932/2153492/42.05257/-72.777353
VM78:2 01079/2921898/108238/42.197424/-72.32702
VM78:2 01080/4473453/258220/42.182218/-72.365654
VM78:2 01081/37544477/568325/42.061313/-72.234411
VM78:2 01082/119411357/16183211/42.293533/-72.278599
VM78:2 01083/40871193/156824/42.203642/-72.194599
VM78:2 01084/23821014/222863/42.39237/-72.882235
VM78:2 01085/155258467/2964576/42.153503/-72.771602
VM78:2 01086/96152/0/42.130446/-72.793967
VM78:2 01088/13468904/36984/42.391709/-72.646494
VM78:2 01089/43286505/2094117/42.125451/-72.649734
VM78:2 01092/17359776/80681/42.191868/-72.235107
VM78:2 01093/13063805/16741/42.435121/-72.654963
VM78:2 01094/2942290/169907/42.359108/-72.1368
VM78:2 01095/58570047/581247/42.127327/-72.427404
VM78:2 01096/82059161/532858/42.39714/-72.763572
VM78:2 01097/4426154/208868/42.178038/-72.832611
VM78:2 01098/81200703/384439/42.394315/-72.943115
VM78:2 01103/1191989/205067/42.104106/-72.592028
VM78:2 01104/13509560/212850/42.134009/-72.565378
VM78:2 01105/3219040/306964/42.095207/-72.577579
VM78:2 01106/24090566/1331605/42.047565/-72.57113
VM78:2 01107/3903756/89142/42.12106/-72.607068
VM78:2 01108/9643254/406401/42.080692/-72.560791
VM78:2 01109/14094949/487865/42.119674/-72.549726
VM78:2 01118/9312203/260877/42.093732/-72.525905
VM78:2 01119/9194297/241739/42.124978/-72.51121
VM78:2 01128/2892857/1287/42.092296/-72.489135
VM78:2 01129/8867992/237886/42.119062/-72.487402
VM78:2 01151/6134290/464565/42.15186/-72.509131
VM78:2 01199/28277/0/42.120563/-72.604468
VM78:2 01201/137058017/6752938/42.448236/-73.273727
VM78:2 01220/63689337/204142/42.623799/-73.116737
VM78:2 01222/8565484/333235/42.058703/-73.322175
VM78:2 01223/180653860/5294145/42.312225/-73.110124
VM78:2 01224/720507/82246/42.513356/-73.195594
VM78:2 01225/65025449/1821072/42.563363/-73.153566
VM78:2 01226/68319649/366617/42.481119/-73.135073
VM78:2 01229/1897309/1745/42.276339/-73.335896
VM78:2 01230/237032746/4530189/42.172941/-73.324463
VM78:2 01235/118213863/2794609/42.43062/-73.064073
VM78:2 01236/12437975/157895/42.266496/-73.378393
VM78:2 01237/160121626/1140685/42.547818/-73.268033
VM78:2 01238/90217712/2706357/42.297501/-73.230148
VM78:2 01240/55374233/1159162/42.367861/-73.269768
VM78:2 01242/1288423/24934/42.333734/-73.249199
VM78:2 01243/48306686/57277/42.350122/-73.024112
VM78:2 01244/6345198/70886/42.118094/-73.257497
VM78:2 01245/72467551/2047530/42.186893/-73.223105
VM78:2 01247/136035510/1480109/42.698437/-73.08409
VM78:2 01253/47310437/1044523/42.206682/-73.113214
VM78:2 01254/37713379/147081/42.382019/-73.365492
VM78:2 01255/134177247/3047061/42.107496/-73.118607
VM78:2 01256/92838285/452299/42.594166/-73.022319
VM78:2 01257/93848678/2221979/42.085245/-73.367482
VM78:2 01258/66839821/399664/42.10928/-73.462886
VM78:2 01259/65593267/2042077/42.075469/-73.234376
VM78:2 01260/6503634/101867/42.295696/-73.342543
VM78:2 01262/31167340/2127685/42.292202/-73.319209
VM78:2 01264/29425420/90081/42.23159/-73.202428
VM78:2 01266/67473737/780772/42.312338/-73.387824
VM78:2 01267/141293372/342660/42.671616/-73.246981
VM78:2 01270/82512104/420829/42.515272/-73.031166
VM78:2 01301/66020418/1388444/42.626761/-72.60153
VM78:2 01330/86313800/631880/42.513947/-72.821517
VM78:2 01331/137844144/3586460/42.562408/-72.19108
VM78:2 01337/96405836/165266/42.689307/-72.582249
VM78:2 01338/8946607/12299/42.572652/-72.824428
VM78:2 01339/142392158/630079/42.603776/-72.889644
VM78:2 01340/114430561/658628/42.694726/-72.711079
VM78:2 01341/92426089/465179/42.496937/-72.709414
VM78:2 01342/46190734/2211971/42.543889/-72.609458
VM78:2 01343/12615499/76887/42.657625/-72.978931
VM78:2 01344/35313664/1342460/42.613418/-72.426427
VM78:2 01346/54379277/99661/42.693275/-72.823113
VM78:2 01347/1495232/221070/42.559294/-72.518753
VM78:2 01349/19874430/573426/42.563061/-72.482122
VM78:2 01350/27768017/274112/42.727772/-72.985346
VM78:2 01351/54198079/1126552/42.53988/-72.521689
VM78:2 01354/35647707/2665409/42.624076/-72.508643
VM78:2 01355/122713549/35676837/42.458522/-72.327219
VM78:2 01360/88796644/2812794/42.677091/-72.453876
VM78:2 01364/101602863/2854976/42.615152/-72.289902
VM78:2 01366/104649746/1453531/42.475621/-72.192468
VM78:2 01367/68727436/1770127/42.695532/-72.909148
VM78:2 01368/108369099/1829133/42.679456/-72.176935
VM78:2 01370/129031063/1398461/42.593338/-72.726941
VM78:2 01373/62576781/1471565/42.473862/-72.615612
VM78:2 01375/36856254/1349204/42.466762/-72.546855
VM78:2 01376/7149877/1465720/42.59528/-72.555002
VM78:2 01378/88114809/812951/42.673533/-72.353213
VM78:2 01379/78233305/962449/42.55631/-72.407148
VM78:2 01420/78520256/1778875/42.584925/-71.816862
VM78:2 01430/95807807/6750019/42.657005/-71.923442
VM78:2 01431/61389725/1002029/42.676293/-71.832523
VM78:2 01432/21888062/1219817/42.566573/-71.575135
VM78:2 01434/13678208/401234/42.539088/-71.611613
VM78:2 01436/24849921/506517/42.603375/-72.088395
VM78:2 01438/1403430/48435/42.562243/-72.031402
VM78:2 01440/62268795/2487879/42.586516/-71.988062
VM78:2 01450/84853731/2575943/42.61176/-71.565269
VM78:2 01451/49550919/1682988/42.501908/-71.568201
VM78:2 01452/106373488/2406515/42.489598/-72.002878
VM78:2 01453/73735859/1369889/42.51996/-71.763075
VM78:2 01460/42791669/2583059/42.535931/-71.490569
VM78:2 01462/68579436/3269933/42.582607/-71.720464
VM78:2 01463/58533407/1546295/42.670642/-71.602857
VM78:2 01464/38884871/204034/42.573654/-71.640986
VM78:2 01467/4908783/28882/42.492367/-71.609303
VM78:2 01468/55425624/688465/42.542767/-72.068345
VM78:2 01469/59261468/606711/42.665059/-71.695333
VM78:2 01473/91766611/4719705/42.5546/-71.90544
VM78:2 01474/25690700/78185/42.669685/-71.752751
VM78:2 01475/110986284/2716014/42.66816/-72.055644
VM78:2 01501/40018190/2420118/42.198708/-71.846006
VM78:2 01503/33598202/523984/42.384929/-71.633889
VM78:2 01504/28685128/819182/42.039991/-71.532406
VM78:2 01505/41598694/9562396/42.355049/-71.716157
VM78:2 01506/40266781/2729462/42.181793/-72.107473
VM78:2 01507/109254326/4179167/42.133935/-71.968025
VM78:2 01510/14645926/4178501/42.411887/-71.690005
VM78:2 01515/25514944/1433058/42.209682/-72.040178
VM78:2 01516/95201650/4019691/42.053072/-71.752241
VM78:2 01518/22976455/1925342/42.127477/-72.118818
VM78:2 01519/28261149/279201/42.203404/-71.679739
VM78:2 01520/46830036/1794650/42.336371/-71.850626
VM78:2 01521/31841683/1990803/42.046798/-72.180149
VM78:2 01522/42419059/1399750/42.375634/-71.867382
VM78:2 01523/65263989/1138106/42.482819/-71.675513
VM78:2 01524/41375156/2508035/42.249603/-71.919217
VM78:2 01525/1162429/81164/42.106794/-71.630518
VM78:2 01527/40323227/1862226/42.192246/-71.777649
VM78:2 01529/12706301/151536/42.036642/-71.578779
VM78:2 01531/53842961/405495/42.319125/-72.130814
VM78:2 01532/47852201/705487/42.323342/-71.646236
VM78:2 01534/22682354/325730/42.142074/-71.643348
VM78:2 01535/55084070/1759511/42.267564/-72.066876
VM78:2 01536/21598203/755400/42.231309/-71.692642
VM78:2 01537/18085937/295745/42.158966/-71.897051
VM78:2 01540/50128319/2048507/42.116168/-71.857369
VM78:2 01541/91709834/1032231/42.454125/-71.87754
VM78:2 01542/10426627/422661/42.204251/-71.908907
VM78:2 01543/90918826/2972193/42.388977/-71.970514
VM78:2 01545/53712526/2715591/42.284767/-71.714228
VM78:2 01550/52512755/1627401/42.059669/-72.03404
VM78:2 01560/9238873/270445/42.175395/-71.674223
VM78:2 01561/319273/0/42.44397/-71.685583
VM78:2 01562/85038323/3036877/42.247211/-71.991867
VM78:2 01564/79343448/2761462/42.447924/-71.776045
VM78:2 01566/73430539/2562230/42.103214/-72.079545
VM78:2 01568/55529918/593264/42.176525/-71.603588
VM78:2 01569/75315947/1580796/42.055892/-71.631294
VM78:2 01570/32048670/5780810/42.047532/-71.846952
VM78:2 01571/53915863/2717076/42.053778/-71.935075
VM78:2 01581/53312878/2229292/42.268426/-71.613309
VM78:2 01583/32672267/2354742/42.369417/-71.785036
VM78:2 01585/66174237/1669484/42.240795/-72.162644
VM78:2 01588/22296389/1660430/42.119228/-71.671821
VM78:2 01590/82903473/4181050/42.132051/-71.750318
VM78:2 01602/14936885/631588/42.271563/-71.849991
VM78:2 01603/11691789/340396/42.244637/-71.843925
VM78:2 01604/16677756/474175/42.253254/-71.767957
VM78:2 01605/14612620/341309/42.289683/-71.787793
VM78:2 01606/15358057/24039/42.315249/-71.795741
VM78:2 01607/8199220/136988/42.22596/-71.78891
VM78:2 01608/1159110/0/42.26198/-71.801462
VM78:2 01609/9893464/56961/42.285114/-71.829987
VM78:2 01610/5505953/9032/42.247049/-71.808366
VM78:2 01611/8915204/647961/42.237604/-71.875838
VM78:2 01612/39666695/1982438/42.296636/-71.929607
VM78:2 01701/43923156/1816225/42.320169/-71.440409
VM78:2 01702/20957508/1972446/42.282576/-71.43676
VM78:2 01718/121367/0/42.519816/-71.429283
VM78:2 01719/26640078/316293/42.485985/-71.520985
VM78:2 01720/51057015/1113826/42.483953/-71.438495
VM78:2 01721/31933385/1395841/42.257755/-71.473526
VM78:2 01730/35478046/460820/42.499331/-71.281905
VM78:2 01731/2049705/0/42.456748/-71.279484
VM78:2 01740/51675247/348786/42.439937/-71.601876
VM78:2 01741/39536091/641968/42.53662/-71.361832
VM78:2 01742/63296150/3384588/42.462911/-71.364496
VM78:2 01745/1033541/3023/42.293073/-71.499163
